Datum	Event_Name	Venue
2023-06-15	fmf: Quartet Dörner/Delius/Borghini/Grip	celeste
2023-06-15	poème électronique #50	echoraum
2023-06-15	KNH-Open House | Act & Paint | Workshop	kulturcafe max
2023-06-15	on the couch #84 - Bogner/Eberhard/Gross	studio eberhard
2023-06-16	poème électronique #51	echoraum
2023-06-17	Duo Hofmaninger/Schwarz: Sound Collector	echoraum
2023-06-19	monday improvisers session	celeste
2023-06-20	XX Y X: Katharina Ernst – le temps	echoraum
2023-06-20	Buch-Club 2 | Lesung | Karin Peschka + Flo...	kulturcafe max
2023-06-21	20h30 der bloede dritte mittwoch #129	central garden
2023-06-22	Between Feathers Vol. 1	echoraum
2023-06-22	KNH-Open House | Gedankenkarussell von Max...	kulturcafe max
2023-06-22	WHY is das witzig?	flucc
2023-06-24	we:create Abschlusskonzert im Rahmen des w...	echoraum
2023-06-24	on the couch #85 - Berndt Thurner/Petra Ac...	studio eberhard
2023-06-24	beauchamp*geissler, bentley anderson et.al...	vekks
2023-06-24	19h rausch _ abstand	echoraeume
2023-06-25	19h Studio Dan - Studio Session #8	westbahnstudios
2023-06-26	monday improvisers session	celeste
2023-06-26	Vienna Klezmer Session | Wratschko Trio	kulturcafe max
2023-06-28	Xenofox [Olaf Rupp & Rudi Fischerlehner]	vekks
2023-06-29	GBK album release concert	im spitzer
2023-06-29	KNH-Open House | Bundle Dye | Workshop	kulturcafe max
2023-07-03	monday improvisers session	celeste
2023-07-07	smallforms	chateau rouge
2023-07-10	monday improvisers session	celeste
2023-07-28	billy roisz - afternoon show @ popfest wien	club u
2023-08-04	Circuit Fantôme S3 Ep1: Crème de la Crème	vronihof
2023-08-18	Circuit Fantôme S3 Ep2: Elsa Justel	vronihof
2023-08-19	Circuit Fantôme S3 Ep2: Elsa Justel	vronihof
2023-08-21	monday improvisers session	celeste
2023-08-28	monday improvisers session	celeste
2023-09-01	Circuit Fantôme S3 Ep5: Gilles Racot	vronihof
2023-09-02	Circuit Fantôme S3 Ep5: Gilles Racot	vronihof
2023-09-04	monday improvisers session	celeste
2023-09-05	CK Sixty – Day 1	porgy&bess
2023-09-06	CK Sixty – Day 2	porgy&bess
2023-09-10	Anthropods	im spitzer
2023-09-11	monday improvisers session	celeste
2023-09-12	XX Y X: Karo Preuschl: Fragments · season...	echoraum
2023-09-15	Circuit Fantôme S3 Ep4: Bernard Parmegiani	vronihof
2023-09-16	Inspiration Nono: Konzert und Fest aus Anl...	echoraum
2023-09-16	Circuit Fantôme S3 Ep4: Bernard Parmegiani	vronihof
2023-09-16	unsafe and sounds festival	zacherlfabrik
2023-09-17	A Place to Play	ruprechtskirche
2023-09-18	monday improvisers session	celeste
2023-09-20	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-09-21	so sner, billy roisz+laszlo lenkes	echoraum
2023-09-21	KNH-Open House | Buchbinden | Workshop	kulturcafe max
2023-09-21	on the couch #86 - Eletric Indigo	studio eberhard
2023-09-22	smallforms	chateau rouge
2023-09-22	Circuit Fantôme S3 Ep5: Régis Renouard L...	vronihof
2023-09-22	on the couch #87 - Baumgartner/Eberhard/Gross	studio eberhard
2023-09-23	Rudi Fischerlehner · Ilia Belorukov	echoraum
2023-09-23	Circuit Fantôme S3 Ep5: Régis Renouard L...	vronihof
2023-09-23	PLF Album release Show	rhiz
2023-09-25	monday improvisers session	celeste
2023-09-26	Nachhall #7 im Frau*feld: Musik & Technik	echoraum
2023-09-28	KNH-Open House | Färber:innenworkshop mit...	kulturcafe max
2023-09-30	Christian Schröder · Kuoppamäki & Herbst	echoraum
2023-10-02	Vienna Klezmer Session | duo noroc	kulturcafe max
2023-10-02	monday improvisers session	celeste
2023-10-04	Loibner/Niggli	echoraum
2023-10-05	KNH-Open House | Act & Paint | Workshop	kulturcafe max
2023-10-05	fmf: Pink Forest: Cosseron - Hautzinger - ...	celeste
2023-10-06	das kleine 3×2: Jorge Espinal × Bernhard...	echoraum
2023-10-08	Michael Vorfeld / GLÜHLAMPENMUSIK	ruprechtskirche
2023-10-09	TWIXT, Negativland	westbahnstudios
2023-10-09	monday improvisers session	celeste
2023-10-10	Die Scham R: Ed Hauswirth  M: KMET	volkstheater
2023-10-10	Die Scham R: Ed Hauswirth  M: KMET  CLONE	volkstheater
2023-10-12	KNH-Open House | Invisible Ink | Konzert	kulturcafe max
2023-10-12	shut up and listen!	echoraum
2023-10-12	KNUSP	ruprechtskirche
2023-10-13	shut up and listen!	echoraum
2023-10-13	Circuit Fantôme S3 Ep6: Elżbieta Sikora	vronihof
2023-10-14	shut up and listen!	echoraum
