datum;event_name;venue
2024-03-16;Ingrid Schmoliner / Alexander Kranabetter;westbahnstudios
2024-03-16;salongarnison7: Caroline Profanter + Tamar...;salon garnison
2024-03-18;monday improvisers session;celeste
2024-03-19;XX Y X: Wechselwirkung;echoraum
2024-03-20;der bloede dritte mittwoch #136;theater am werk / petersplatz
2024-03-21;Karø Goldt: Colour & Music;echoraum
2024-03-25;monday improvisers session;celeste
2024-03-28;fmf: DEK TRIO: Vandermark - Harnik - Kern;celeste
2024-04-01;monday improvisers session;celeste
2024-04-03;Joke Lanz & Sophie Agnel;echoraum
2024-04-03;kit cut feat. Verena Repar;westbahnstudios
2024-04-05;snim – Perspektiven und Vernetzungen;echoraum
2024-04-05;Spirits in Complexity – Making kin with ...;mdw
2024-04-07;Anthropods / Beyond the Beat;rhiz
2024-04-08;monday improvisers session;celeste
2024-04-09;Angelica Castello / Hanna Schimek at XX Y X;echoraum
2024-04-11;fmf: Duo Jealousy Party: WJM Andreucci - M...;celeste
2024-04-11;on the couch #94 - Denovaire/Alexander J. ...;studio eberhard
2024-04-12;Klangmanifeste 2024: More than networks TAG I;echoraum
2024-04-13;Klangmanifeste 2024: More than networks TA...;echoraum
2024-04-14;frage & fragment;st. ruprecht (neue musik in)
2024-04-15;monday improvisers session;celeste
2024-04-15;Ka Baird / Sara Zlanabitnig;rhiz
2024-04-17;Klangmanifeste 2024: More than networks TA...;echoraum
2024-04-17;der bloede dritte mittwoch #137;theater am werk / petersplatz
2024-04-19;Klangmanifeste 2024: More than networks TA...;echoraum
2024-04-20;Studio Session;westbahnstudios
2024-04-22;monday improvisers session;celeste
2024-04-23;Musik unterm Mandelbaum#5: Kritische Theor...;echoraum
2024-04-25;fmf: Trio Tanrıkulu - Dunston - König;celeste
2024-04-25;Robert Steijn: moon/sun/kiss/earth;echoraum
2024-04-26;smallforms;chateau rouge
2024-04-29;monday improvisers session;celeste
