Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
id/l Agentur für Kunst und Kultur	2023	1000	17	Symbiotic Love (Sonic Territories Festival)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
id/l Agentur für Kunst und Kultur	2023	5000	22	Sonic Territories 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
id/l Agentur für Kunst und Kultur	2023	800	22	Konzerte im Teppichgeschäft	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
echoraum Vereinigung zur Förderung der Kulturkommunikation	2025	3500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2026	1800	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
SHIZZLE - Kunst- und Kulturverein	2024	8000	17	[nicht dokumentiert]	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2026	1500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
Kulturverein WERK	2026	3500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	2024	1000	9	"Circuit Fantôme Prélude
"	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Akusmonautikum	2024	1200	5	Akusmonautik 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Akusmonautikum	2024	2500	8	Akusmonautik 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Akusmonautikum	2024	1750	23	Akusmonautik 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist	2024	500	17	DER KLANG DER STADT mit Sarah Jung und Texten von Christine Nöstlinger	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist	2024	2000	14	DER KLANG DES MÜLLS mit Götz Bury und seinen Instrumenten	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist	2024	2500	15	Klänge des Alltags – „OUTREACH“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Pia Maria Palme	2024	500	16	MUSIC AFTER NATURE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
